timestamp,TSLA_close,GM_close,AMZN_close,XOM_close,BAC_close,CAT_close,CVS_close
2018-11-28,347.87,36.95,1677.75,78.45,28.43,130.77,80.27
2018-11-27,343.92,36.69,1581.42,77.05,27.74,124.6,79.5
2018-11-26,346.0,37.65,1581.33,76.98,27.56,124.8,77.84
2018-11-23,325.83,35.93,1502.06,75.49,26.97,122.32,75.18
2018-11-21,338.19,35.55,1516.73,77.56,27.27,123.87,75.09
2018-11-20,347.49,35.09,1495.46,76.97,27.38,122.27,75.52
2018-11-19,353.47,35.68,1512.29,79.22,27.75,125.98,78.55
2018-11-16,354.31,35.75,1593.41,78.96,27.75,129.96,79.33
2018-11-15,348.44,35.55,1619.44,78.19,27.9,129.42,79.84
2018-11-14,344.0,35.23,1599.01,77.39,27.21,125.1,79.92
2018-11-13,338.73,35.93,1631.17,78.0,27.76,125.96,80.8
2018-11-12,331.28,35.69,1636.85,79.83,27.75,125.0,80.34
2018-11-09,350.51,35.7,1712.43,80.87,28.52,126.91,79.83
2018-11-08,351.4,36.57,1754.91,81.71,28.87,131.39,80.05
2018-11-07,348.16,36.88,1755.49,83.03,28.54,135.1,78.77
2018-11-06,341.06,36.46,1642.81,81.99,28.21,129.33,77.9
2018-11-05,341.4,36.25,1627.8,81.64,28.06,126.41,73.69
2018-11-02,346.41,36.03,1665.53,81.95,27.89,125.79,73.09
2018-11-01,344.28,36.47,1665.53,80.67,27.81,124.7,74.41
2018-10-31,337.32,36.59,1598.01,79.68,27.5,121.32,72.39
2018-10-30,329.9,33.54,1530.42,78.78,26.78,117.46,72.39
2018-10-29,334.85,33.13,1538.88,77.05,26.61,113.98,70.54
2018-10-26,330.9,32.65,1642.81,77.53,26.39,115.05,70.12
2018-10-25,314.86,32.0,1782.17,78.31,26.59,115.63,70.67
2018-10-24,288.5,30.56,1664.2,77.62,26.19,112.34,69.81
2018-10-23,294.14,32.12,1768.7,79.84,27.02,118.98,72.45
2018-10-22,260.95,31.34,1789.3,81.15,27.38,128.71,72.84
2018-10-19,260.0,31.2,1764.03,81.97,28.32,131.32,74.18
2018-10-18,263.91,31.08,1770.72,81.85,28.25,135.8,74.53
2018-10-17,271.78,31.93,1831.73,81.5,28.9,141.34,74.36
2018-10-16,276.59,32.34,1819.96,81.2,28.53,143.71,73.72
2018-10-15,259.59,32.12,1760.95,80.82,27.92,141.8,73.06
2018-10-12,258.78,31.79,1788.61,81.38,28.46,142.07,74.58
2018-10-11,252.23,32.31,1719.36,81.6,28.36,140.97,73.19
2018-10-10,256.88,32.6,1755.25,84.52,29.24,143.72,78.92
2018-10-09,262.8,32.65,1870.32,86.51,29.98,149.46,79.49
2018-10-08,250.56,34.25,1864.42,86.13,30.27,153.35,79.8
2018-10-05,261.95,34.12,1889.65,85.34,30.23,153.31,78.67
2018-10-04,281.83,34.25,1909.42,85.58,30.43,156.75,79.39
2018-10-03,294.8,34.0,1952.76,86.15,30.0,158.22,79.9
2018-10-02,301.02,33.3,1971.31,86.46,29.58,154.82,79.24
2018-10-01,310.7,34.2,2004.36,85.81,29.65,152.28,79.5
2018-09-28,264.77,33.67,2003.0,85.02,29.46,152.49,78.72
2018-09-27,307.52,33.67,2012.98,85.77,29.94,152.47,78.76
2018-09-26,309.58,33.73,1974.85,85.78,30.13,153.17,78.43
2018-09-25,300.99,33.55,1974.55,86.5,30.67,154.09,77.61
2018-09-24,299.68,34.75,1934.36,86.6,30.74,154.0,78.74
2018-09-21,299.1,35.32,1915.01,85.17,31.03,156.38,79.59
2018-09-20,298.33,36.08,1944.3,84.82,31.19,156.0,79.39
2018-09-19,299.02,35.73,1926.42,84.63,31.0,152.76,78.96
2018-09-18,284.96,35.1,1941.05,83.63,30.21,149.07,78.61
2018-09-17,294.84,35.02,1908.03,83.41,30.28,146.22,78.1
2018-09-14,295.2,34.63,1970.19,82.92,30.37,144.9,76.91
2018-09-13,289.46,34.25,1989.87,82.32,30.14,145.54,77.08
2018-09-12,290.54,34.06,1990.0,83.13,30.43,144.28,77.32
2018-09-11,279.44,33.77,1987.15,82.86,30.85,142.03,75.73
2018-09-10,285.5,33.87,1939.01,81.71,30.82,142.05,75.64
